facility,cate,addr_load,addr_num,lat,long,area,capacity,openOrnot,normal_use,manage_phone,management,date,region,region2
LGU+,공공용,"서울특별시 강남구 언주로 616 (논현동, KIDC 논현센터)",서울특별시 강남구 논현동 261-1,37.51104663,127.0369858,8837.0,10712.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
두산빌딩,공공용,"서울특별시 강남구 언주로 726 (논현동, 두산빌딩)",서울특별시 강남구 논현동 105-7,37.51938326,127.0351981,10349.0,12544.0,Y,"주차장, 식당",,서울특별시 강남구청,2021-08-09,서울특별시,강남구
논현2문화센터,공공용,"서울특별시 강남구 학동로43길 17 (논현동, 논현2동주민센터)",서울특별시 강남구 논현동 114-24,37.51727791,127.0372042048,2706.0,3280.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
학동역,공공용,"서울특별시 강남구 학동로 지하 180 (논현동, 학동역)",서울특별시 강남구 논현동 279-67,37.51420535,127.031463,9293.0,11264.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
언주역,공공용,"서울특별시 강남구 봉은사로 지하 201 (논현동, 언주역)",서울특별시 강남구 논현동 279-165,37.50744703,127.0342831,11569.0,14023.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
압구정역,공공용,"서울특별시 강남구 압구정로 지하 172 (신사동, 압구정역)",서울특별시 강남구 신사동 668,37.52643091,127.0284815,8550.0,10364.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
갤러리아백화점 서관,공공용,"서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)",서울특별시 강남구 압구정동 494,37.52847463,127.0400535,1544.0,1872.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
갤러리아백화점 동관,공공용,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)",서울특별시 강남구 압구정동 515,37.527919,127.0418316,1954.0,2368.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
기아자동차,공공용,"서울특별시 강남구 압구정로 417 (압구정동, 기아빌딩)",서울특별시 강남구 압구정동 518,37.52755822,127.0428858,8630.0,10461.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
배강빌딩,공공용,서울특별시 강남구 선릉로 801 (신사동),서울특별시 강남구 신사동 666-11,37.5235229,127.0388014,9629.0,11672.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
호림아트센터 2빌딩,공공용,"서울특별시 강남구 도산대로45길 6 (신사동, 호림아트센터 2빌딩)",서울특별시 강남구 신사동 651-16,37.52287517,127.0364576,6547.0,7936.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
압구정하이츠파크,공공용,"서울특별시 강남구 압구정로42길 78 (신사동, 압구정하이츠파크)",서울특별시 강남구 신사동 632,37.52408696,127.0336321068,7933.0,9616.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
금광아크존,공공용,"서울특별시 강남구 압구정로42길 36 (신사동, 금광아크존1)",서울특별시 강남구 신사동 635-14,37.52656986,127.0345317,1897.0,2299.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
태성빌딩,공공용,,서울특별시 강남구 청담동 91-8,37.52397227,127.0427887,479.0,581.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
현대아파트 201동,공공용,,서울특별시 강남구 청담동 23,37.5218392,127.0413576,828.0,1004.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
경원오피스텔,공공용,,서울특별시 강남구 청담동 5,37.523593,127.0450646,4679.0,5672.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
인성빌딩,공공용,,서울특별시 강남구 청담동 88-37,37.52437294,127.0410287,574.0,696.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
M빌딩,공공용,,서울특별시 강남구 청담동 97,37.52433553,127.044789,1198.0,1452.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
금하빌딩,공공용,,서울특별시 강남구 청담동 41-2,37.51764042,127.041672,14203.0,17216.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
청담1문화센터,공공용,,서울특별시 강남구 청담동 124-1,37.52509058,127.0492919,264.0,320.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
화천회관,공공용,,서울특별시 강남구 청담동 133-3,37.5204809,127.0575783,3452.0,4184.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
호텔리베라,공공용,,서울특별시 강남구 청담동 53-7,37.52382701,127.0542414,2376.0,2880.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
프리마호텔,공공용,,서울특별시 강남구 청담동 52-3,37.52433245,127.0522825,3323.0,4028.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
청담평생학습관,공공용,,서울특별시 강남구 청담동 35-10,37.51909826,127.0464419,4049.0,4908.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
우리들병원,공공용,,서울특별시 강남구 청담동 47-4,37.51909337,127.0496092,11850.0,14364.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
언북초등학교 공영주차장,공공용,,서울특별시 강남구 청담동 27,37.52012607,127.0447141,3361.0,4074.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
청담역,공공용,,서울특별시 강남구 청담동 77-76,37.51914278,127.052039,11901.0,14425.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼성역,공공용,"서울특별시 강남구 테헤란로 지하 538 (삼성동, 삼성역)",서울특별시 강남구 삼성동 172-66,37.50886236,127.0630753,6447.0,7815.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
한국도심공항터미널,공공용,"서울특별시 강남구 테헤란로87길 22 (삼성동, 한국도심공항터미널)",서울특별시 강남구 삼성동 159-6,37.5096319,127.059443,21120.0,25600.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
COEX,공공용,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",서울특별시 강남구 삼성동 159,37.51182328,127.0591597,27783.0,33676.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
호텔인터컨티넨탈,공공용,"서울특별시 강남구 테헤란로 521 (삼성동, 그랜드인터콘티넨탈호텔)",서울특별시 강남구 삼성동 159-8,37.50919151,127.060809,28875.0,35000.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
현대백화점,공공용,"서울특별시 강남구 테헤란로 517 (삼성동, 현대백화점)",서울특별시 강남구 삼성동 159-7,37.5086154,127.0597634,22770.0,27600.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼성1동주민센터,공공용,"서울특별시 강남구 봉은사로 616 (삼성동, 삼성1동 주민센터)",서울특별시 강남구 삼성동 161-2,37.51435513,127.0626094,3301.0,4001.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
봉은사역,공공용,"서울특별시 강남구 봉은사로 지하 601 (삼성동, 봉은사역)",서울특별시 강남구 삼성동 172,37.51435963,127.0608901,9841.0,11928.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
강남구립국제교육원,공공용,"서울특별시 강남구 선릉로 668 (삼성동, 강남구보건소,강남구립국제교육원)",서울특별시 강남구 삼성동 8,37.5163196785,127.0423147933,812.0,984.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
강남구청,공공용,"서울특별시 강남구 학동로 426 (삼성동, 강남구청)",서울특별시 강남구 삼성동 16-1,37.51796636,127.0470611,1422.0,1724.0,Y,식당 및 종합상황실,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
선릉역,공공용,"서울특별시 강남구 테헤란로 지하 340 (삼성동, 선릉역)",서울특별시 강남구 삼성동 172-66,37.50450099,127.0489436,5970.0,7236.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
라마다서울호텔,공공용,"서울특별시 강남구 봉은사로 410 (삼성동, 라마다서울호텔)",서울특별시 강남구 삼성동 112-5,37.51034817,127.0452783,10233.0,12404.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
성담빌딩,공공용,"서울특별시 강남구 테헤란로 411 (삼성동, 성담빌딩)",서울특별시 강남구 삼성동 142-35,37.50549488,127.0508624,4643.0,5628.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼성2문화센터,공공용,"서울특별시 강남구 봉은사로 419 (삼성동, 삼성2동주민센터)",서울특별시 강남구 삼성동 38-34,37.51120565,127.0459755,531.0,644.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
중앙하이츠빌리지,공공용,"서울특별시 강남구 학동로68길 30 (삼성동, 삼성동중앙하이츠빌리지)",서울특별시 강남구 삼성동 14-1,37.51657903,127.0465082,19203.0,1512.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
래미안삼성2차아파트,공공용,"서울특별시 강남구 선릉로130길 20 (삼성동, 래미안삼성2차아파트)",서울특별시 강남구 삼성동 7-3,37.51566482,127.043345,22532.0,1368.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
한솔아파트,공공용,"서울특별시 강남구 학동로64길 7 (삼성동, 한솔아파트)",서울특별시 강남구 삼성동 4-6,37.51753808,127.0455405,12111.0,1325.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
강남구청역,공공용,"서울특별시 강남구 학동로 지하 346 (삼성동, 강남구청역)",서울특별시 강남구 삼성동 111-44,37.51719005,127.0413008,10352.0,12548.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼성중앙역,공공용,"서울특별시 강남구 봉은사로 지하 501 (삼성동, 삼성중앙역)",서울특별시 강남구 삼성동 111-147,37.51288231,127.0527043,6016.0,7292.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
선정릉역,공공용,"서울특별시 강남구 선릉로 지하 580 (삼성동, 선정릉역)",서울특별시 강남구 삼성동 111-114,37.51085335,127.0436408,9192.0,11142.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
동하빌딩,공공용,"서울특별시 강남구 남부순환로 2913 (대치동, 동하빌딩)",서울특별시 강남구 대치동 629,37.49275111,127.0585295,2515.0,3048.0,Y,식당 및 사무실,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
강원빌딩,공공용,"서울특별시 강남구 도곡로 418 (대치동, 강원빌딩)",서울특별시 강남구 대치동 1024-4,37.49695812,127.0562485,1719.0,2084.0,Y,상업용시설,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
대치역,공공용,"서울특별시 강남구 남부순환로 지하 2952 (대치동, 대치역)",서울특별시 강남구 대치동 317-3,37.4945614,127.0634296,8138.0,9864.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
대치1문화센터,공공용,"서울특별시 강남구 남부순환로391길 19 (대치동, 대치1문화센터)",서울특별시 강남구 대치동 646-2,37.49324572,127.0567749,1508.0,1828.0,Y,도서관 및 체육시설,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
한티역,공공용,"서울특별시 강남구 선릉로 지하 228 (대치동, 한티역)",서울특별시 강남구 대치동 1011-28,37.49624247,127.0528826,13055.0,15824.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
메디다스벤쳐타운,공공용,"서울특별시 강남구 영동대로 229 (대치동, 메디다스벤처타운)",서울특별시 강남구 대치동 994-3,37.49953635,127.0674191,1320.0,1600.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
대치역,공공용,"서울특별시 강남구 남부순환로 지하 2952 (대치동, 대치역)",서울특별시 강남구 대치동 317-3,37.4945614,127.0634296,5171.0,6268.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
강남구민회관,공공용,"서울특별시 강남구 삼성로 154 (대치동, 강남구의회, 강남구민회관)",서울특별시 강남구 대치동 509-2,37.493887,127.0642704,5419.0,6568.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
대치평생학습관,공공용,"서울특별시 강남구 영동대로57길 7 (대치동, 대치평생학습관)",서울특별시 강남구 대치동 994-17,37.49995467,127.0669762,825.0,1000.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
대치2주민센터,공공용,"서울특별시 강남구 영동대로65길 24 (대치동, 대치2동주민센터)",서울특별시 강남구 대치동 980-9,37.50230604,127.0641871,5425.0,6576.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
학여울역,공공용,"서울특별시 강남구 남부순환로 지하 3104 (대치동, 학여울역)",서울특별시 강남구 대치동 514-3,37.49671547,127.0717183,4884.0,5920.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
우성1차아파트,공공용,"서울특별시 강남구 영동대로 230 (대치동, 우성1차아파트)",서울특별시 강남구 대치동 63,37.50095934,127.0684699,495.0,600.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
래미안대치하이스 모든 동 지하,공공용,"서울특별시 강남구 도곡로93길 12 (대치동, 래미안 대치 하이스턴)",서울특별시 강남구 대치동 985,37.50151245,127.0654757,1030.0,1248.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
쌍용1차아파트 모든 동,공공용,"서울특별시 강남구 영동대로 210 (대치동, 쌍용아파트)",서울특별시 강남구 대치동 66,37.49885648,127.0713675,1294.0,1568.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
쌍용2차아파트 모든 동,공공용,"서울특별시 강남구 영동대로 220 (대치동, 쌍용아파트)",서울특별시 강남구 대치동 65,37.49992371,127.0706267,1214.0,1472.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
동원빌딩,공공용,"서울특별시 강남구 영동대로 333 (대치동, 동원빌딩)",서울특별시 강남구 대치동 968-4,37.50415093,127.0648718,1957.0,2372.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
글라스타워,공공용,"서울특별시 강남구 테헤란로 534 (대치동, 글라스타워빌딩)",서울특별시 강남구 대치동 946-1,37.50803719,127.0627941,17540.0,21261.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
노벨빌딩,공공용,"서울특별시 강남구 테헤란로78길 16 (대치동, 노벨빌딩)",서울특별시 강남구 대치동 891-44,37.50506039,127.0553362,2914.0,3532.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
롯데백화점,공공용,"서울특별시 강남구 도곡로 401 (대치동, 롯데백화점)",서울특별시 강남구 대치동 937,37.49697752,127.053254,6716.0,8141.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
대치4동주민센터,공공용,"서울특별시 강남구 도곡로77길 23 (대치동, 대치4동주민센터)",서울특별시 강남구 대치동 928-22,37.49972884,127.0578474,1399.0,1696.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼성생명대치타워,공공용,"서울특별시 강남구 테헤란로 424 (대치동, 삼성생명 대치타워)",서울특별시 강남구 대치동 891,37.50549373,127.0534682,12180.0,14764.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
포스코센타,공공용,"서울특별시 강남구 테헤란로 440 (대치동, 포스코센터)",서울특별시 강남구 대치동 892,37.50581326,127.056133,44890.0,54412.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
동부금융센터,공공용,"서울특별시 강남구 테헤란로 432 (대치동, 동부금융센터)",서울특별시 강남구 대치동 891-10,37.50577425,127.0547622,1382.0,1037.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼역,공공용,"서울특별시 강남구 테헤란로 지하 156 (역삼동, 역삼역)",서울특별시 강남구 역삼동 804,37.50071762,127.0366188,9029.0,10944.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
강남역,공공용,"서울특별시 강남구 강남대로 지하 396 (역삼동, 강남역)",서울특별시 강남구 역삼동 858,37.49816465,127.0283079,9679.0,11732.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼정빌딩 앞 역삼지하보도,공공용,서울특별시 강남구 테헤란로 301 (삼정빌딩),서울특별시 강남구 역삼동 701-2,37.50312654,127.0430503,498.0,604.0,Y,지하보도,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
공무원연금공단,공공용,"서울특별시 강남구 언주로 508 (역삼동, 공무원연금공단)",서울특별시 강남구 역삼동 701,37.50396633,127.0429085,11289.0,13684.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
한독약품,공공용,"서울특별시 강남구 테헤란로 132 (역삼동, 한독약품빌딩)",서울특별시 강남구 역삼동 735,37.49932027,127.0332073,2624.0,3181.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
유니온센터,공공용,"서울특별시 강남구 강남대로 310 (역삼동, 유니온센터오피스텔)",서울특별시 강남구 역삼동 837-11,37.49098462,127.0314849,12002.0,14956.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
우덕빌딩,공공용,"서울특별시 강남구 강남대로 330 (역삼동, 우덕빌딩)",서울특별시 강남구 역삼동 832-2,37.49267874,127.0306307,5260.0,6376.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
한국타이어,공공용,"서울특별시 강남구 테헤란로 133 (역삼동, 한국타이어빌딩)",서울특별시 강남구 역삼동 647-14,37.50014912,127.0334565,5831.0,9977.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
성지하이츠,공공용,"서울특별시 강남구 논현로 507 (역삼동, 성지하이츠3차빌딩)",서울특별시 강남구 역삼동 642-6,37.50157912,127.0361578,7405.0,8976.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼원타워,공공용,"서울특별시 강남구 테헤란로 124, 삼원타워 (역삼동)",서울특별시 강남구 역삼동 823,37.4987464,127.0317053,8088.0,9804.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼1문화센터,공공용,"서울특별시 강남구 역삼로7길 16 (역삼동, 역삼1문화센터)",서울특별시 강남구 역삼동 829-20,37.49537384,127.0332825,5243.0,6355.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
엔지니어링공제빌딩,공공용,"서울특별시 강남구 테헤란로 335, 엔지니어링공제빌딩 (역삼동)",서울특별시 강남구 역삼동 705-19,37.504716,127.0482288,3656.0,4432.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼2문화센터,공공용,"서울특별시 강남구 도곡로43길 25 (역삼동, 역삼2문화센터)",서울특별시 강남구 역삼동 761-26,37.49597473,127.0468166,396.0,480.0,Y,식당,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
PCA라이프타워 앞 역삼지하보도,공공용,"서울특별시 강남구 테헤란로 302 (역삼동, PCA Life Tower)",서울특별시 강남구 역삼동 706,37.50243081,127.0434731,399.0,484.0,Y,지하보도,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
두꺼비빌딩,공공용,"서울특별시 강남구 테헤란로 310 (역삼동, 두꺼비빌딩)",서울특별시 강남구 역삼동 707-1,37.50285201,127.044749,3168.0,3840.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
동영문화센터,공공용,"서울특별시 강남구 언주로 337 (역삼동, 동영문화센터)",서울특별시 강남구 역삼동 772,37.49792545,127.044357,11154.0,13520.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
테헤란로오피스빌딩,공공용,"서울특별시 강남구 테헤란로52길 6 (역삼동, 테헤란로오피스빌딩)",서울특별시 강남구 역삼동 707-38,37.50321149,127.0471152,8606.0,10432.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
원경빌딩,공공용,서울특별시 강남구 도곡로 205 (역삼동),서울특별시 강남구 역삼동 788-10,37.49292055,127.0413643,7088.0,8592.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
아세아타워,공공용,"서울특별시 강남구 논현로 430 (역삼동, 아세아타워빌딩)",서울특별시 강남구 역삼동 726,37.49900155,127.038355,48150.0,58364.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
동우빌딩,공공용,"서울특별시 강남구 테헤란로 328 (역삼동, 동우빌딩)",서울특별시 강남구 역삼동 708,37.50370862,127.0476809,4709.0,5708.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
도곡정보문화도서관,공공용,"서울특별시 강남구 도곡로18길 57 (도곡동, 도곡정보문화도서관)",서울특별시 강남구 도곡동 892-6,37.48831184,127.0388787,99.0,120.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
KT양재지점 양재전화국,공공용,"서울특별시 강남구 남부순환로 2653 (도곡동, KT양재지점)",서울특별시 강남구 도곡동 907-41,37.48586782,127.0403292,403.0,488.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼럭키아파트 101동 지하,공공용,"서울특별시 강남구 논현로 213 (도곡동, 역삼럭키아파트)",서울특별시 강남구 도곡동 963,37.49141419,127.0409971,2432.0,2948.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼럭키아파트 103동지하,공공용,"서울특별시 강남구 논현로 213 (도곡동, 역삼럭키아파트)",서울특별시 강남구 도곡동 963,37.49141419,127.0409971,875.0,1061.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼럭키아파트 104동지하,공공용,"서울특별시 강남구 논현로 213 (도곡동, 역삼럭키아파트)",서울특별시 강남구 도곡동 963,37.49141419,127.0409971,1554.0,1884.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
역삼럭키아파트 108동지하,공공용,"서울특별시 강남구 논현로 213 (도곡동, 역삼럭키아파트)",서울특별시 강남구 도곡동 963,37.49141419,127.0409971,1191.0,1444.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
