facility,cate,addr_load,addr_num,lat,long,area,capacity,openOrnot,normal_use,manage_phone,management,date,region
삼우은성 아파트,공공용,"강원도 강릉시 남강초교1길 55 (송정동, 삼우은성맨션아파트)",강원도 강릉시 송정동 940,37.76998846,128.9217358092,2696.0,3267.0,Y,주차장,033-660-3896,강릉시 송정동주민센터,2021-06-07,강원도
대림 아파트(송정동),공공용,"강원도 강릉시 남강초교2길 44 (송정동, 대림맨션아파트)",강원도 강릉시 송정동 940-23,37.7694861,128.9206944,2210.0,2678.0,Y,주차장,033-660-3896,강릉시 송정동주민센터,2021-06-07,강원도
홈플러스,공공용,"강원도 강릉시 경강로 2120 (옥천동, 씨네몰)",강원도 강릉시 옥천동 189,37.755663,128.8986527,4397.0,5328.0,Y,지하주차장,033-660-3754,강릉시 옥천동주민센터,2021-06-07,강원도
강릉 소방서,공공용,"강원도 강릉시 용지로 139 (옥천동, 강릉소방서)",강원도 강릉시 옥천동 325,37.761021,128.9021216,331.0,401.0,Y,"회의,교육",033-660-3754,강릉시 옥천동주민센터,2021-06-07,강원도
동방타워맨션,공공용,강원도 강릉시 주문진읍 매맥이아랫길 24 (동방타워맨션),강원도 강릉시 주문진읍 교항리 18-6,37.87578046,128.8267661,2300.0,2787.0,Y,지하주차장,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
우신 아파트,공공용,강원도 강릉시 주문진읍 보리골길 26 (우신그린피아아파트),강원도 강릉시 주문진읍 교항리 1166-1,37.87224553,128.8245119765,1559.0,2913.0,Y,지하주차장,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
강원양돈농협 주문진점,공공용,강원도 강릉시 주문진읍 시장길 28,강원도 강릉시 주문진읍 교항리 184-31,37.890196132,128.8274011,469.0,568.0,Y,지하추차장,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
정우2차 아파트,공공용,강원도 강릉시 주문진읍 연주로 291-6 (정우2차아파트),강원도 강릉시 주문진읍 교항리 29-1,37.87796664,128.8268338,1001.0,1213.0,Y,지하주차장,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
극동 아파트,공공용,강원도 강릉시 주문진읍 웃사다리4길 20 (극동아파트),강원도 강릉시 주문진읍 교항리 240-11,37.88802744,128.8213105217,1143.0,1385.0,Y,기타,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
우리약국,공공용,강원도 강릉시 주문진읍 주문로 97,강원도 강릉시 주문진읍 주문리 333-2,37.892721,128.8266068656,400.0,484.0,Y,지하주차장,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
동명 아파트,공공용,강원도 강릉시 주문진읍 학교1길 9 (동명아파트),강원도 강릉시 주문진읍 교항리 67-3,37.88221251,128.8293118,658.0,797.0,Y,지하주차장,033-660-3426,강릉시 주문진읍사무소,2021-06-07,강원도
강릉의료원,공공용,"강원도 강릉시 경강로 2007 (남문동, 강릉의료원)",강원도 강릉시 남문동 164-1,37.74972288,128.8887478,1963.0,2355.0,Y,기타,033-660-3736,강릉시 중앙동주민센터,2021-06-07,강원도
중앙시장,공공용,"강원도 강릉시 금성로 21 (성남동, 중앙시장)",강원도 강릉시 성남동 50,37.754004,128.8986238,2965.0,3593.0,Y,기타,033-660-3736,강릉시 중앙동주민센터,2021-06-07,강원도
서부시장,공공용,"강원도 강릉시 임영로155번길 6 (용강동, 서부시장)",강원도 강릉시 용강동 29,37.755013,128.8907996,2169.0,2629.0,Y,기타,033-660-3736,강릉시 중앙동주민센터,2021-06-07,강원도
우성 아파트,공공용,"강원도 강릉시 연당길 67-15 (초당동, 초당우성아파트)",강원도 강릉시 초당동 143,37.78315709,128.9138385,1067.0,1293.0,Y,지하주차장,033-660-3863,강릉시 초당동주민센터,2021-06-07,강원도
유화3차 아파트,공공용,"강원도 강릉시 연당길 82 (초당동, 초당유화3차아파트)",강원도 강릉시 초당동 155,37.784935,128.9148059,760.0,920.0,Y,지하주차장,033-660-3863,강릉시 초당동주민센터,2021-06-07,강원도
초당현대 아파트,공공용,"강원도 강릉시 초당원길 26-2 (초당동, 초당현대아파트)",강원도 강릉시 초당동 128,37.78447917,128.9174049,2674.0,3241.0,Y,지하주차장,033-660-3863,강릉시 초당동주민센터,2021-06-07,강원도
강릉교회,공공용,강원도 강릉시 해안로 333 (강문동),강원도 강릉시 강문동 133,37.7928673193,128.9164014156,290.0,351.0,Y,기타,033-660-3863,강릉시 초당동주민센터,2021-06-07,강원도
강릉우체국,공공용,"강원도 강릉시 강릉대로 326 (포남동, 강릉우체국)",강원도 강릉시 포남동 1118-4,37.76514016,128.903842,1634.0,1348.0,Y,주차장,033-660-3818,강릉시 포남1동주민센터,2021-06-07,강원도
세화상가 아파트,공공용,"강원도 강릉시 경강로2223번길 15 (포남동, 세화상가아파트)",강원도 강릉시 포남동 1125,37.763624,128.9049835,600.0,727.0,Y,지하주차장,033-660-3818,강릉시 포남1동주민센터,2021-06-07,강원도
포남엘에이치1단지아파트,공공용,강원도 강릉시 경강로2301번길 6 (포남동),강원도 강릉시 포남동 1181,37.76835163,128.9129075,1904.0,2305.0,Y,지하주차장,033-660-3818,강릉시 포남1동주민센터,2021-06-07,강원도
미라보 아파트,공공용,"강원도 강릉시 명륜로 124 (포남동, 미라보아파트)",강원도 강릉시 포남동 1097,37.76920847,128.9029431,515.0,624.0,Y,지하주차장,033-660-3818,강릉시 포남1동주민센터,2021-06-07,강원도
삼우골든맨션,공공용,"강원도 강릉시 용지각길20번길 8 (포남동, 삼우골든맨션아파트)",강원도 강릉시 포남동 898-17,37.76006882,128.9066031,664.0,804.0,Y,지하주차장,033-660-3818,강릉시 포남1동주민센터,2021-06-07,강원도
대인4차 아파트,공공용,강원도 강릉시 강릉대로469번길 14(포남동),강원도 강릉시 포남동 422-3,37.776161983,128.9133737945,3289.0,3986.0,Y,지하주차장,033-660-3846,강릉시 포남2동주민센터,2021-06-07,강원도
새솔 아파트,공공용,"강원도 강릉시 강릉대로469번길 22 (포남동, 정아새솔아파트)",강원도 강릉시 포남동 436-1,37.77601609,128.9124558,297.0,360.0,Y,지하주차장,033-660-3846,강릉시 포남2동주민센터,2021-06-07,강원도
일송 아파트,공공용,"강원도 강릉시 하평3길 37 (포남동, 일송아파트)",강원도 강릉시 포남동 1293-1,37.77179023,128.9143988,1652.0,2002.0,Y,지하주차장,033-660-3846,강릉시 포남2동주민센터,2021-06-07,강원도
청송 아파트,공공용,강원도 강릉시 하평길 37(포남동),강원도 강릉시 포남동 1293-2,37.77051701,128.9129224,6032.0,7311.0,Y,지하주차장,033-660-3846,강릉시 포남2동주민센터,2021-06-07,강원도
강릉시청,공공용,"강원도 강릉시 강릉대로 33 (홍제동, 강릉시청)",강원도 강릉시 홍제동 1001,37.75323781,128.8753356,780.0,945.0,Y,기타,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
우미린아파트,공공용,"강원도 강릉시 선수촌로 55 (홍제동, 우미린아파트)",강원도 강릉시 홍제동 1037,37.75632137,128.8697267,16779.0,13843.0,Y,지하주차장,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
현대 힐스테이트 아파트,공공용,"강원도 강릉시 토성로 39 (홍제동, 홍제힐스테이트아파트)",강원도 강릉시 홍제동 1007,37.75051462,128.8818291,13501.0,16364.0,Y,지하주차장,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
우산 아파트,공공용,"강원도 강릉시 토성로 51 (홍제동, 홍제동우산아파트)",강원도 강릉시 홍제동 122,37.75113687,128.8834786,2404.0,2913.0,Y,지하주차장,033-660-3713,강릉시 홍제동주민센터,2021-06-07,강원도
시외버스터미널,공공용,"강원도 강릉시 하슬라로 27 (홍제동, 강릉시외버스터미널)",강원도 강릉시 홍제동 992-1,37.7546758,128.8788078,231.0,280.0,Y,기타,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
푸르지오 아파트,공공용,"강원도 강릉시 홍제로71번길 1 (홍제동, 홍제푸르지오)",강원도 강릉시 홍제동 158,37.75352693,128.8831897,4437.0,5378.0,Y,지하주차장,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
LH미디어촌 5단지 아파트,공공용,"강원도 강릉시 선수촌로 11 (홍제동, 엘에이치미디어촌5단지)",강원도 강릉시 홍제동 1039,37.7543401357,128.8681879903,10280.0,12460.0,Y,지하주차장,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
LH미디어촌 6단지 아파트,공공용,"강원도 강릉시 선수촌로 10 (홍제동, LH미디어촌6단지아파트)",강원도 강릉시 홍제동 1044,37.7519698464,128.8683686747,26977.0,36335.0,Y,지하주차장,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
LH미디어촌 7단지 아파트,공공용,"강원도 강릉시 선수촌로 36 (홍제동, 엘에이치미디어촌7단지)",강원도 강릉시 홍제동 1043,37.7534370562,128.8694078784,9138.0,11076.0,Y,지하주차장,033-660-3716,강릉시 홍제동주민센터,2021-06-07,강원도
KB국민은행,공공용,강원도 동해시 중앙로250,강원도 동해시 천곡동 849,37.52302634,129.1143517,460.0,556.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
KT동해지점,공공용,강원도 동해시 발한로42,강원도 동해시 부곡동 87,37.5365842,129.1036544,400.0,482.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
근로자복지회관,공공용,강원도 동해시 동굴로2,강원도 동해시 천곡동 1005-12,37.5148782,129.1050919,727.0,880.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
금호어울림아파트,공공용,강원도 동해시 평릉길14,강원도 동해시 천곡동 1102,37.5278272,129.1024811,2657.0,3220.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
대동아파트,공공용,강원도 동해시 청운1길29,강원도 동해시 동회동 442,37.48761775,129.1035462,2512.0,3045.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
대륜빌딩,공공용,강원도 동해시 천곡로86-2,강원도 동해시 천곡동 845,37.52288447,129.1150623,1141.0,1380.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
대림아파트,공공용,강원도 동해시 관사길6,강원도 동해시 발한동 253,37.55029316,129.1058573,1418.0,1169.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
대창아파트,공공용,강원도 동해시 향로3길43,강원도 동해시 발한동 188,37.54436335,129.1046973,1077.0,888.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
도노호텔,공공용,강원도 동해시 중앙로210-1,강원도 동해시 천곡동 889,37.51991083,129.1160361,612.0,740.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동진빌딩,공공용,강원도 동해시 천곡로86,강원도 동해시 천곡동 847,37.52344603,129.1147539,992.0,1200.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해농협,공공용,강원도 동해시 대동로121,강원도 동해시 북평동 21-3,37.48264391,129.1264371,86.0,104.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해동인병원,공공용,강원도 동해시 하평로26,강원도 동해시 평릉동 134,37.5301401,129.1073994,1266.0,1531.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해병원,공공용,강원도 동해시 하평로11,강원도 동해시 평릉동 190,37.5313691,129.1077852,992.0,1200.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해쇄운부영아파트 101~104동,공공용,강원도 동해시 청운1길30,강원도 동해시 쇄운동 8,37.485315,129.1069522,14115.0,17079.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해쇄운부영아파트 105~108동,공공용,강원도 동해시 청운1길30,강원도 동해시 쇄운동 8,37.485315,129.1069522,5213.0,6308.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해쇄운부영아파트 109동,공공용,강원도 동해시 청운1길30,강원도 동해시 쇄운동 8,37.485315,129.1069522,3869.0,4681.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해시청,공공용,강원도 동해시 천곡로77,강원도 동해시 천곡동 806,37.5250249,129.114494,628.0,760.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해항운노조회관,공공용,강원도 동해시 발한로162,강원도 동해시 발한동 222-2,37.54615702,129.104671,397.0,300.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동해해양경찰서,공공용,강원도 동해시 임항로29,강원도 동해시 부곡동 129-20,37.5393507,129.1062196,173.0,208.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
동회동현대코아루아파트,공공용,강원도 동해시 청운1길29,강원도 동해시 동회동 442,37.48761775,129.1035462,2512.0,3040.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
망상동 삼성아파트,공공용,강원도 동해시 해안로605,강원도 동해시 발한동 334-1,37.5535511,129.1031248,2965.0,3588.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
묵호동주민센터,공공용,강원도 동해시 논골길78,강원도 동해시 묵호진동 1-44,37.5586983,129.1142497,208.09,250.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
뱅뱅건물,공공용,강원도 동해시 중앙로248,강원도 동해시 천곡동 850,37.5227993,129.1145406,1207.0,1460.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
범주성지2차아파트,공공용,강원도 동해시 초원2길5,강원도 동해시 용정동 260-2,37.5116184,129.1242869,496.0,600.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
북평동주민센터,공공용,강원도 동해시 대동로137,강원도 동해시 북평동 127-1,37.48372927,129.1250627,331.0,400.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
북평동주민센터 옆 지하,공공용,강원도 동해시 대동로137,강원도 동해시 북평동 127-1,37.48372927,129.1250627,30.0,36.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
삼본아파트,공공용,강원도 동해시 해맞이길231,강원도 동해시 묵호진동 1-83,37.5593293,129.1150388,1534.0,1856.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
삼정2차아파트,공공용,강원도 동해시 임항로55,강원도 동해시 부곡동 126-1,37.53899217,129.1078463,1794.0,1488.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
삼화쌍용아파트,공공용,강원도 동해시 삼화로48,강원도 동해시 이로동 42-2,37.48609632,129.064348,991.0,1200.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
센트로빌 아파트,공공용,강원도 동해시 한섬로73,강원도 동해시 천곡동 1060-2,37.5204837,129.1119072,6364.0,7700.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
션샤인파크 아파트,공공용,강원도 동해시 임항로10,강원도 동해시 부곡동 80,37.5381069,129.102948,5713.0,6889.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
송원빌딩,공공용,강원도 동해시 한섬로 113-7,강원도 동해시 천곡동 865,37.5222901,129.1160145,725.55,879.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
승우2차아파트,공공용,강원도 동해시 부곡2길7,강원도 동해시 부곡동 86-5,37.53653758,129.1052407,298.0,360.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
승우4차아파트,공공용,강원도 동해시 임항로36,강원도 동해시 부곡동 105-1,37.5383015,129.1061943,727.0,877.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
쌍용아파트,공공용,강원도 동해시 동굴로149,강원도 동해시 천곡동 942,37.52001628,129.1200892,2936.0,3552.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
엘리시아파트,공공용,강원도 동해시 평원로107,강원도 동해시 평릉동 450,37.5322594,129.1120888,6836.82,8287.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
영동5차 연립주택,공공용,강원도 동해시 가마골길26-12,강원도 동해시 부곡동 74-7,37.5366129,129.1024226,286.52,237.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
유공타워빌딩,공공용,강원도 동해시 천곡1길3,강원도 동해시 천곡동 802-1,37.5242638,129.1128562,2519.0,3048.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
유성타워,공공용,강원도 동해시 구미택지1길93,강원도 동해시 구미동 551,37.48037531,129.1281103,99.0,120.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
유존아파트,공공용,강원도 동해시 부곡2길26,강원도 동해시 부곡동 111-1,37.5375401,129.1061645,1116.0,926.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
이도주공2차 아파트,공공용,강원도 동해시 이원길180-2,강원도 동해시 이도동 155,37.478292,129.1109165,1947.0,2356.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
이도현대아파트,공공용,강원도 동해시 이원길180,강원도 동해시 이도동 172,37.4795225,129.1109773543,1005.0,1216.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
일정아파트,공공용,강원도 동해시 해안로 449,강원도 동해시 부곡동 5-82,37.5407185,129.1091038,1653.0,1993.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
코아루디오션 아파트,공공용,강원도 동해시 평원로100,강원도 동해시 평릉동 456,37.53198538,129.1140665,15231.0,18461.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
평릉부영아파트,공공용,강원도 동해시 평원로110,강원도 동해시 평릉동 448,37.53347271,129.1130477,10679.13,12944.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
푸르지오아파트,공공용,강원도 동해시 평릉1길 39,강원도 동해시 평릉동 293,37.5295525,129.0997018,5282.0,6402.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
하나리움아파트,공공용,강원도 동해시 평원로115,강원도 동해시 평릉동 449,37.5330672,129.1117534,6189.75,7502.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
현진아파트,공공용,강원도 동해시 구미4길1,강원도 동해시 구미동 521,37.4818091,129.1299716,231.0,280.0,Y,,033-530-2312,동해시청,2021-04-14,강원도
도계새롬아파트,공공용,강원도 삼척시 도계읍 도계우회로2길 8,강원도 삼척시 도계읍 도계리 429,37.2369676,129.0467934,1541.0,1868.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
도계LH2단지아파트,공공용,강원도 삼척시 도계읍 장원길 33,강원도 삼척시 도계읍 도계리 225,37.22707499,129.0549529,5293.0,6416.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
호산시크릿캐슬,공공용,강원도 삼척시 원덕읍 삼척로 446-23,강원도 삼척시 원덕읍 호산리 362-2,37.17717375,129.3356187,370.0,448.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
행남아파트,공공용,강원도 삼척시 근덕면 교가2길 19,강원도 삼척시 근덕면 교가리 378-1,37.38096212,129.2276906,755.0,915.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
삼척소방서,공공용,강원도 삼척시 봉황로 101,강원도 삼척시 남양동 5-1,37.44639445,129.171234,106.0,128.0,Y,구내식당,033-570-3896,강원도 삼척시청,2021-07-21,강원도
동원파크3차,공공용,강원도 삼척시 남양안길 26,강원도 삼척시 남양동 336-3,37.44327603,129.1693542,1084.0,1314.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
동화3차APT,공공용,강원도 삼척시 남양길 14-17,강원도 삼척시 남양동 338,37.44184746,129.1690508,661.0,801.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
세연상가,공공용,강원도 삼척시 중앙시장1길 22-23,강원도 삼척시 남양동 52,37.44092809,129.1673115,982.0,1190.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
한흥프라자,공공용,강원도 삼척시 중앙로 176,강원도 삼척시 남양동 55-117,37.43890081,129.1682156,989.0,1199.0,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21,강원도
삼척의료원,공공용,강원도 삼척시 오십천로 418,강원도 삼척시 남양동 55-9,37.44032696,129.1633551,450.0,545.0,Y,구내식당,033-570-3896,강원도 삼척시청,2021-07-21,강원도
